# Espectro C12880MA - Capturado el 2025-11-14 22:21:38
# Offset sustraido: 127
# Longitud_Onda (nm)	Intensidad (ADC)
380.0000	0
381.6376	0
383.2753	0
384.9129	0
386.5505	0
388.1882	0
389.8258	0
391.4634	0
393.1010	0
394.7387	0
396.3763	0
398.0139	0
399.6516	0
401.2892	0
402.9268	0
404.5645	0
406.2021	0
407.8397	0
409.4774	0
411.1150	0
412.7526	0
414.3902	0
416.0279	0
417.6655	0
419.3031	0
420.9408	0
422.5784	0
424.2160	0
425.8537	0
427.4913	0
429.1289	0
430.7666	0
432.4042	0
434.0418	0
435.6794	0
437.3171	0
438.9547	0
440.5923	0
442.2300	0
443.8676	0
445.5052	0
447.1429	0
448.7805	0
450.4181	0
452.0557	0
453.6934	0
455.3310	0
456.9686	0
458.6063	0
460.2439	0
461.8815	0
463.5192	0
465.1568	0
466.7944	0
468.4321	0
470.0697	0
471.7073	0
473.3449	0
474.9826	0
476.6202	0
478.2578	0
479.8955	0
481.5331	0
483.1707	0
484.8084	0
486.4460	0
488.0836	0
489.7213	0
491.3589	0
492.9965	0
494.6341	0
496.2718	0
497.9094	0
499.5470	0
501.1847	0
502.8223	0
504.4599	0
506.0976	0
507.7352	0
509.3728	0
511.0105	0
512.6481	0
514.2857	0
515.9233	0
517.5610	10
519.1986	31
520.8362	124
522.4739	455
524.1115	834
525.7491	851
527.3868	854
529.0244	851
530.6620	491
532.2997	52
533.9373	8
535.5749	0
537.2125	0
538.8502	0
540.4878	0
542.1254	0
543.7631	0
545.4007	0
547.0383	0
548.6760	0
550.3136	0
551.9512	0
553.5889	0
555.2265	0
556.8641	0
558.5017	0
560.1394	0
561.7770	0
563.4146	0
565.0523	0
566.6899	0
568.3275	0
569.9652	0
571.6028	0
573.2404	0
574.8780	0
576.5157	0
578.1533	0
579.7909	0
581.4286	0
583.0662	0
584.7038	0
586.3415	0
587.9791	0
589.6167	0
591.2544	0
592.8920	0
594.5296	0
596.1672	0
597.8049	0
599.4425	0
601.0801	0
602.7178	0
604.3554	0
605.9930	0
607.6307	0
609.2683	0
610.9059	0
612.5436	0
614.1812	0
615.8188	0
617.4564	0
619.0941	0
620.7317	0
622.3693	0
624.0070	0
625.6446	0
627.2822	0
628.9199	0
630.5575	0
632.1951	0
633.8328	0
635.4704	0
637.1080	0
638.7456	0
640.3833	0
642.0209	0
643.6585	0
645.2962	0
646.9338	0
648.5714	0
650.2091	0
651.8467	0
653.4843	0
655.1220	0
656.7596	0
658.3972	0
660.0348	0
661.6725	0
663.3101	0
664.9477	0
666.5854	0
668.2230	0
669.8606	0
671.4983	0
673.1359	0
674.7735	0
676.4111	0
678.0488	0
679.6864	0
681.3240	0
682.9617	0
684.5993	0
686.2369	0
687.8746	0
689.5122	0
691.1498	0
692.7875	0
694.4251	0
696.0627	0
697.7003	0
699.3380	0
700.9756	0
702.6132	0
704.2509	0
705.8885	0
707.5261	0
709.1638	0
710.8014	0
712.4390	0
714.0767	0
715.7143	0
717.3519	0
718.9895	0
720.6272	0
722.2648	0
723.9024	0
725.5401	0
727.1777	0
728.8153	0
730.4530	0
732.0906	0
733.7282	0
735.3659	0
737.0035	0
738.6411	0
740.2787	0
741.9164	0
743.5540	0
745.1916	0
746.8293	0
748.4669	0
750.1045	0
751.7422	0
753.3798	0
755.0174	0
756.6551	0
758.2927	0
759.9303	4
761.5679	10
763.2056	11
764.8432	11
766.4808	10
768.1185	2
769.7561	0
771.3937	0
773.0314	0
774.6690	0
776.3066	0
777.9443	0
779.5819	0
781.2195	0
782.8571	0
784.4948	0
786.1324	0
787.7700	0
789.4077	0
791.0453	0
792.6829	0
794.3206	0
795.9582	0
797.5958	0
799.2334	0
800.8711	0
802.5087	0
804.1463	0
805.7840	0
807.4216	0
809.0592	0
810.6969	0
812.3345	0
813.9721	0
815.6098	0
817.2474	0
818.8850	0
820.5226	0
822.1603	0
823.7979	0
825.4355	0
827.0732	0
828.7108	0
830.3484	0
831.9861	0
833.6237	0
835.2613	0
836.8990	0
838.5366	0
840.1742	0
841.8118	0
843.4495	0
845.0871	0
846.7247	0
848.3624	0
850.0000	0
