# Espectro C12880MA - Capturado el 2025-11-15 13:32:51
# Offset sustraido: 127
# Longitud_Onda (nm)	Intensidad (ADC)
380.0000	0
381.6376	0
383.2753	28
384.9129	26
386.5505	26
388.1882	24
389.8258	25
391.4634	23
393.1010	24
394.7387	24
396.3763	22
398.0139	23
399.6516	24
401.2892	21
402.9268	21
404.5645	20
406.2021	22
407.8397	22
409.4774	21
411.1150	21
412.7526	23
414.3902	22
416.0279	22
417.6655	22
419.3031	21
420.9408	23
422.5784	22
424.2160	23
425.8537	24
427.4913	21
429.1289	23
430.7666	24
432.4042	25
434.0418	30
435.6794	33
437.3171	42
438.9547	53
440.5923	68
442.2300	86
443.8676	97
445.5052	114
447.1429	129
448.7805	139
450.4181	150
452.0557	154
453.6934	155
455.3310	153
456.9686	148
458.6063	149
460.2439	150
461.8815	154
463.5192	162
465.1568	170
466.7944	174
468.4321	184
470.0697	187
471.7073	194
473.3449	204
474.9826	208
476.6202	214
478.2578	221
479.8955	230
481.5331	236
483.1707	237
484.8084	248
486.4460	254
488.0836	262
489.7213	269
491.3589	273
492.9965	263
494.6341	266
496.2718	255
497.9094	250
499.5470	255
501.1847	253
502.8223	246
504.4599	240
506.0976	230
507.7352	228
509.3728	224
511.0105	215
512.6481	210
514.2857	204
515.9233	203
517.5610	201
519.1986	202
520.8362	204
522.4739	206
524.1115	213
525.7491	212
527.3868	216
529.0244	211
530.6620	214
532.2997	210
533.9373	212
535.5749	211
537.2125	207
538.8502	208
540.4878	204
542.1254	206
543.7631	200
545.4007	200
547.0383	200
548.6760	199
550.3136	197
551.9512	203
553.5889	207
555.2265	209
556.8641	214
558.5017	217
560.1394	232
561.7770	231
563.4146	237
565.0523	242
566.6899	244
568.3275	247
569.9652	250
571.6028	253
573.2404	262
574.8780	261
576.5157	272
578.1533	277
579.7909	278
581.4286	280
583.0662	282
584.7038	284
586.3415	288
587.9791	287
589.6167	284
591.2544	283
592.8920	281
594.5296	279
596.1672	276
597.8049	275
599.4425	276
601.0801	273
602.7178	272
604.3554	274
605.9930	271
607.6307	267
609.2683	268
610.9059	262
612.5436	262
614.1812	255
615.8188	251
617.4564	249
619.0941	242
620.7317	243
622.3693	243
624.0070	242
625.6446	247
627.2822	244
628.9199	243
630.5575	238
632.1951	238
633.8328	241
635.4704	240
637.1080	237
638.7456	232
640.3833	231
642.0209	225
643.6585	217
645.2962	213
646.9338	210
648.5714	213
650.2091	210
651.8467	216
653.4843	217
655.1220	216
656.7596	220
658.3972	217
660.0348	216
661.6725	216
663.3101	214
664.9477	217
666.5854	209
668.2230	206
669.8606	205
671.4983	193
673.1359	185
674.7735	185
676.4111	180
678.0488	182
679.6864	176
681.3240	184
682.9617	183
684.5993	185
686.2369	185
687.8746	190
689.5122	191
691.1498	192
692.7875	191
694.4251	192
696.0627	191
697.7003	187
699.3380	186
700.9756	185
702.6132	179
704.2509	177
705.8885	167
707.5261	162
709.1638	149
710.8014	135
712.4390	123
714.0767	119
715.7143	115
717.3519	126
718.9895	128
720.6272	137
722.2648	144
723.9024	146
725.5401	143
727.1777	147
728.8153	144
730.4530	141
732.0906	135
733.7282	135
735.3659	132
737.0035	128
738.6411	128
740.2787	127
741.9164	118
743.5540	120
745.1916	115
746.8293	113
748.4669	109
750.1045	110
751.7422	107
753.3798	106
755.0174	101
756.6551	101
758.2927	97
759.9303	96
761.5679	94
763.2056	90
764.8432	88
766.4808	85
768.1185	79
769.7561	79
771.3937	72
773.0314	70
774.6690	74
776.3066	69
777.9443	68
779.5819	69
781.2195	66
782.8571	67
784.4948	68
786.1324	65
787.7700	64
789.4077	63
791.0453	65
792.6829	65
794.3206	64
795.9582	63
797.5958	61
799.2334	63
800.8711	60
802.5087	59
804.1463	57
805.7840	57
807.4216	56
809.0592	57
810.6969	54
812.3345	49
813.9721	52
815.6098	50
817.2474	49
818.8850	50
820.5226	48
822.1603	50
823.7979	47
825.4355	45
827.0732	44
828.7108	43
830.3484	42
831.9861	42
833.6237	41
835.2613	40
836.8990	41
838.5366	39
840.1742	40
841.8118	39
843.4495	36
845.0871	39
846.7247	35
848.3624	37
850.0000	36
